index,cbo,cargo,idPost
271,784125,Ajudante de Enfardamento,26739
272,784120,Ajudante de Engarrafamento,26731
273,784110,Ajudante de Ensacador,26693
274,415215,Ajudante de Entregador de Publicações,20387
275,841440,Ajudante de Esterilização (indústria Alimentícia),27573
276,724220,Ajudante de Estruturas Metálicas,24593
277,772115,Ajudante de Estufador (madeira),26177
278,811430,Ajudante de Evaporador na Destilação,26897
279,823210,Ajudante de Extrusão de Fibras de Vidro,27243
280,828110,Ajudante de Fábrica de Tijolos,27325
281,841745,Ajudante de Fabricação - na Indústria de Bebidas,27671
282,831125,Ajudante de Fabricação de Celulose,27415
283,521130,Ajudante de Farmácia,21479
284,811330,Ajudante de Filtrador (filtro-prensa),26853
285,722105,Ajudante de Forjador,24295
286,821205,Ajudante de Forneiro,27057
287,722205,Ajudante de Fundidor,24329
288,724130,Ajudante de Gasista,24573
289,782205,Ajudante de Guincheiro,26397
290,766220,Ajudante de Impressor de Formulários Contínuos,25913
291,752230,Ajudante de Lapidador (vidros),25153
292,519935,Ajudante de Lavador de Automóvel,21425
293,516315,Ajudante de Lavador de Tapetes,21141
295,722210,Ajudante de Lingotamento,24337
296,919105,Ajudante de Lubrificação (indústria),28563
297,775115,Ajudante de Lustrador,26305
298,722305,Ajudante de Macheiro,24363
299,914105,Ajudante de Manutenção de Aeronave,28421
300,782625,Ajudante de Maquinista de Trem,26537
301,717010,Ajudante de Marteleteiro,23971
302,711130,Ajudante de Mineiro,23463
303,766125,Ajudante de Montagem e Fotolito,25791
304,783225,Ajudante de Motorista,10098
306,828110,Ajudante de Oleiro,27327
307,783220,Ajudante de Operação Portuária,26635
308,811305,Ajudante de Operador de Centrífugas,26825
309,782205,Ajudante de Operador de Guincho,26399
310,773340,Ajudante de Operador de Serra,26253
312,848315,Ajudante de Pasteleiro,27819
313,821445,Ajudante de Pátio de Sucata,27171
315,723330,Ajudante de Pintor À Pistola,24529
316,723330,Ajudante de Pintor de Móveis,24531
317,723330,Ajudante de Pintor de Produção,24533
318,513505,Ajudante de Pizzaiolo,20895
319,519935,Ajudante de Polidor de Veículos,21427
320,721325,Ajudante de Polimento,24259
321,722235,Ajudante de Preparador de Lingotamento,24357
322,841745,Ajudante de Produção - na Indústria de Bebidas,27673
323,841448,Ajudante de Produção de Óleos Vegetais - na Ind. Alimentar,27581
324,848210,Ajudante de Queijeiro,27789
325,821450,Ajudante de Rebarbação (metais),27175
326,632125,Ajudante de Reflorestamento,22965
327,732130,Ajudante de Reparador (telecomunicações),25013
328,717020,Ajudante de Saneamento,23985
329,773340,Ajudante de Serrador,26255
330,724440,Ajudante de Serralheiro,24709
331,622020,Ajudante de Serviço de (aplicação de Produtos Agroquímicos),22181
332,513505,Ajudante de Sushiman,20897
333,841745,Ajudante de Tratamento de Preparo de Xarope,27675
335,841745,Ajudante Xaropeiro,27677
336,632305,Ajuntador de Andiroba,23037
337,725020,Ajustador de Agulhas,24785
338,715535,Ajustador de Fôrmas (concreto),23809
339,741105,Ajustador de Instrumentos de Precisão,9470
340,911305,Ajustador de Máquinas de Embalagem,28299
341,725010,Ajustador de Oficina de Cilindros,24767
342,821450,Ajustador de Rebarbador,27177
343,725010,Ajustador de Válvulas,24769
344,725005,Ajustador Ferramenteiro,9356
345,725020,Ajustador Limador de Fresas,24787
346,725020,Ajustador Limador de Tornos,24789
347,725010,Ajustador Mecânico,9358
348,725015,Ajustador Mecânico (Usinagem em Bancada e em Maquinas-Ferramentas),9360
349,725010,Ajustador Mecânico de Ferramentas,24771
350,725010,Ajustador Mecânico de Manutenção,24773
351,725020,Ajustador Mecânico em Bancada,9362
352,725025,Ajustador Naval (Reparo e Construção),9364
353,841705,Alambiqueiro,10502
355,811405,Alcatroeiro,26873
356,225110,Alergista,16167
357,225110,Alergista e Imunologista,16169
358,225110,Alergologista,16171
359,612315,Alfaceiro,21695
360,763005,Alfaiate,9722
361,763005,Alfaite Modelista,25579
362,141405,Alfarrabista,14559
363,141410,Alfarrabista (comércio Varejista),14609
364,848310,Alfeloeiro,27805
365,141405,Alheiro (comércio Atacadista),14561
366,141410,Alheiro (comércio Varejista),14611
367,784205,Alimentador de Esteiras (preparação de Alimentos e Bebidas),26753
368,784205,Alimentador de Linha de Produção,10112
369,784205,Alimentador de Máquina Automática,26755
370,631325,Alimentador de Peixe,22877
371,766220,Alimentador de Rotativas,25915
372,773130,Alimentador de Serra de Fita,26237
373,992105,Alinhador de Pneus,10806
374,914405,Alinhador de Rodas,28457
375,721325,Alisador de Metal,24261
376,414105,Almoxarife,8120
377,141410,Alugador (comerciante Varejista),14613
378,715230,Alvanel,23763
379,715230,Alvaner,23765
380,761405,Alvejador (Tecidos),9662
381,311725,Alvejador de Couros,18233
382,311725,Alvejador de Sola,18235
383,762335,Amaciador de Couros e Peles,25577
384,623005,Amansador,22593
385,632210,Amapateiro,23011
387,772105,Amarrador de Madeira,26169
388,828110,Amassador - em Olaria,27329
389,262905,Ambientador,17715
390,524305,Ambulante,21529
391,623005,Amestrador,22595
392,721315,Amolador - na Fabricação,24237
393,721310,Amolador Ambulante,24215
394,721315,Amolador de Cilindros,24239
395,721310,Amolador de Cutelaria,24217
396,721310,Amolador de Facas,24219
397,721315,Amolador de Ferramentas,24241
398,721305,Amolador de Guarnição - na Fabricação Têxtil,24205
399,721320,Amolador de Serras,24255
400,721315,Amolador de Talhadeira,24243
401,721310,Amolador de Tesouras ( Inclusive Ambulante),24221
402,711105,Amostrador de Minérios,8948
403,211205,Amostrista,15293
404,711130,Amostrista de Minérios,23465
405,752115,Ampoleiro,25117
406,823245,Ampoleiro (jarras e Garrafas Térmicas),27273
407,313315,Analisador de Tráfego Telefônico,18389
408,251550,Analista (psicanálise),16953
409,252105,Analista Administrativo,16975
410,251210,Analista Agroindustrial (economista),16887
411,352205,Analista Ambiental,19333
412,142335,Analista Comercial,94674
413,252210,Analista Contábil,16999
414,251210,Analista de Agronegócios (economista),16889
415,212315,Analista de Aplicativo Básico (software),15329
416,301110,Analista de Areias em Fundição,18101
417,252210,Analista de Balanço,17001
419,251220,Analista de Cadeias Produtivas (economista),16907
421,421310,Analista de Cobrança,20503
422,252515,Analista de Cobrança (Instituições Financeiras),7042
424,212410,Analista de Comunicação (teleprocessamento),15349
425,252210,Analista de Contabilidade,17003
426,252210,Analista de Contas,17005
427,252210,Analista de Contas a Pagar,17007
429,251225,Analista de Controle e Gestão (economista),16915
430,251215,Analista de Controle Orçamentário (economista),16895
431,251215,Analista de Crédito (economista),16897
432,252525,Analista de Credito (Instituições Financeiras),7044
435,212405,Analista de Desenvolvimento de Sistemas,5992
436,252405,Analista de Desenvolvimento Humano Organizacional,62425
437,251235,Analista de Desenvolvimento Regional (economista),16931
438,261210,Analista de Documentação,17243
439,251230,Analista de Ecodesenvolvimento (economista),16925
440,251205,Analista de Economia Internacional,16867
441,311520,Analista de Estação de Tratamento de Efluentes,18217
442,142335,Analista de Estudos de Mercado,15119
443,251205,Analista de Estudos Econômicos,16869
444,354305,Analista de Exportação e Importação,7838
445,251225,Analista de Finanças Públicas (economista),16917
446,413105,Analista de Folha de Pagamento,8102
447,251215,Analista de Fundos de Investimento,16899
448,252725,Analista de gestão de estoque,123292
449,261215,Analista de Informações (Pesquisador de Informações de Rede),7126
450,142335,Analista de Informações de Mercado,15121
451,142335,Analista de Inteligência de Mercado,15123
454,301115,Analista de Laboratório Químico (petróleo),18119
455,252535,Analista de Leasing,7048
456,252715,Analista de logística,123287
457,391115,Analista de Logística (técnico de Nível Médio),20031
458,342125,Analista de Logística de Transporte,19111
459,142335,Analista de Marketing,15125
460,251230,Analista de Meio Ambiente (economista),16927
461,142335,Analista de Mercado,15127
462,251210,Analista de Mercado Agrícola (economista),16891
463,251205,Analista de Mercado de Trabalho (economista),16871
464,251205,Analista de Mercado e Produtos (economista),16873
465,251220,Analista de Mercado Industrial (economista),16909
466,251205,Analista de Mercado Internacional,16875
467,251205,Analista de Mercadologia (economista),16877
468,221105,Analista de Micróbios,15745
469,253120,Analista de Negócios,7062
470,142330,Analista de Negócios (A),5846
472,252705,Analista de PCP,123281
473,253125,Analista de Pesquisa de Mercado,7064
474,142335,Analista de Pesquisa de Mercado (A),5848
475,211110,Analista de Pesquisa Operacional,15287
476,252710,Analista de planejamento de materiais,123285
477,111510,Analista de Planejamento e Orçamento - Apo,14156
478,252545,Analista de Planejamento Financeiro,17111
479,251225,Analista de Políticas Públicas (economista),16919
480,251210,Analista de Produto Agropecuário (economista),16893
481,251220,Analista de Produto Industrial (economista),16911
483,311105,Analista de Produtos Químicos,18129
484,251220,Analista de Projetos Industriais (economista),16913
485,252720,Analista de projetos logísticos,123289
487,252405,Analista de Recursos Humanos,7036
488,251230,Analista de Recursos Naturais (economista),16929
489,212410,Analista de Rede,15351
491,142130,Analista de riscos,124697
492,351705,Analista de Seguros (Técnico),7758
493,142335,Analista de SEO (Search Engine Optimization),62422
494,351710,Analista de Sinistros,7760
496,212415,Analista de Sistemas de Automação,5996
497,212405,Analista de Sistemas Para Internet,15339
498,212405,Analista de Sistemas Web (webmaster),15341
499,251215,Analista de Subscrição de Títulos,16901
500,242910,Analista de Suporte À Inteligência ( Grupo Apoio),16859
501,212420,Analista de Suporte Computacional,5998
502,212420,Analista de Suporte de Banco de Dados,15355
503,212420,Analista de Suporte de Sistema,15357
504,212420,Analista de Suporte Técnico,15359
505,391135,Analista de Supply Chain,62423
506,212410,Analista de Telecomunicação,15353
507,212430,Analista de Testes de Tecnologia da Informação,105291
508,142315,Analista de Trade Marketing,62419
509,214270,Analista de Tráfego,15483
510,342105,Analista de Transporte em Comercio Exterior,7678
511,342110,Analista de Transporte Multimodal,19095
513,311105,Analista de Tratamento de Água,18131
514,122520,Analista de Turismo (turismólogo),14222
515,251205,Analista Econômico,16879
516,251215,Analista Econômico-financeiro,16903
517,212320,Analista em Segurança da Informação,15331
518,251215,Analista Financeiro (economista),16905
519,252545,Analista Financeiro (Instituições Financeiras),7052
520,251225,Analista Fiscal (economista),16921
521,311105,Analista Químico,18133
522,301115,Analista Químico (petróleo),18121
523,351705,Analista Técnico de Seguros,19273
524,351710,Analista Técnico de Sinistros,19277
525,242910,Analista Técnico em Inteligência (grupo Informações),16861
526,251225,Analista Tributário (economista),16923
528,261705,Ancora de Radio e Televisão,7166
529,225285,Andrologista,16369
530,225151,Anestesiologista,16253
531,225151,Anestesista,16255
532,376305,Animador de Eventos,19771
533,376310,Animador de Festas Populares,19779
534,376315,Animador de Rádio,19787
536,723235,Anodizador e Anodizador de Metais,24493
537,377230,Anotador (judô),19981
538,519940,Anotador de Consumo de Energia Elétrica,21445
539,414205,Anotador de Mão-de-obra,20327
540,414205,Anotador de Pessoal,20329
541,414210,Anotador de Processo de Produção,20339
542,414210,Anotador de Produção,20341
543,954210,Antenista,28689
544,141405,Antiquário (comércio Atacadista),14563
545,141410,Antiquário Comércio Varejista,14615
546,251105,Antropólogo,6968
547,622020,Apanhador - na Cultura,22183
548,622205,Apanhador de Algodão,22337
549,632310,Apanhador de Babaçu,23043
550,622610,Apanhador de Café,22539
551,632325,Aparador - na Extração da Carnaúba,23065
552,712220,Aparelhador de Pedra (mármore),23653
553,711115,Aparelhador de Pedra (mina),23425
554,623115,Apartador de Gado,22699
555,613405,Apicultor,8658
556,613405,Apicultor - Empregador,22043
557,623410,Apicultor - Exclusive Conta Própria e Empregador,22773
558,712205,Aplainador de Mármore,23625
559,622020,Aplicador Agrícola,22185
560,715705,Aplicador de Asfalto Impermeabilizante (Coberturas),9086
561,752405,Aplicador de Decalque em Cerâmica,25231
562,752405,Aplicador de Impressos em Cerâmica,25233
563,519910,Aplicador de Inseticida,21393
564,715705,Aplicador de Isolante (coberturas),23841
565,715715,Aplicador de Isolante Térmico,23847
566,715720,Aplicador de Material Isolante em Caldeiras e Tubulações,23851
567,716520,Aplicador de Resinas em Pisos,23915
568,766205,Aplicador de Serigrafia,25879
569,766205,Aplicador de Silkscreen,25881
570,716520,Aplicador de Sinteco e Bona,23917
571,752205,Aplicador Serigráfico em Vidros,9528
572,764210,Apontador de Bicos (calçados),25693
573,414210,Apontador de Campo,20343
574,411030,Apontador de Cartões de Ponto,20223
575,414205,Apontador de Mão-de-obra,8126
576,414205,Apontador de Obras,20331
577,414205,Apontador de Pessoal,20333
578,414210,Apontador de Produção,8128
579,391110,Apontador de Tempo (produção),20027
580,414210,Apontador Industrial,20345
581,848315,Aprendiz de Macarroneiro,27821
582,911305,Aprendiz de Mecânica de Manutenção,28301
583,725010,Aprendiz de Mecânico Ajustador,24775
584,376305,Apresentador Animador de Eventos,19773
585,376310,Apresentador Animador de Festas Populares,19781
586,376315,Apresentador Animador de Programas de Rádio,19789
587,376320,Apresentador Animador de Programas de Televisão,19793
588,376305,Apresentador de Convenções,19775
589,376305,Apresentador de Espetáculos,19777
590,376305,Apresentador de Eventos,7974
591,376310,Apresentador de Festas Populares,7976
592,376315,Apresentador de Programas de Radio,7978
593,376320,Apresentador de Programas de Televisão,7980
594,261705,Apresentador de Rádio e Televisão,17421
595,376320,Apresentador de Telejornal,19795
596,414205,Apropriador de Mão-de-obra,20335
